"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Newfoundland and Labrador","2016A000210","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062998","2.1.1.1.1.1","445.3","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062999","2.2.1.1.1.1","256.5","","","","1"
"2020-10","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062999","2.2.1.1.1.1","256.9","","","","1"
"2020-11","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062999","2.2.1.1.1.1","258.6","","","","1"
"2020-12","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062999","2.2.1.1.1.1","257.2","","","","1"
"2021-01","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062999","2.2.1.1.1.1","254.5","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063000","2.3.1.1.1.1","217.4","","","","1"
"2020-10","Newfoundland and Labrador","2016A000210","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063000","2.3.1.1.1.1","223.5","","","","1"
"2020-11","Newfoundland and Labrador","2016A000210","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063000","2.3.1.1.1.1","226.5","","","","1"
"2020-12","Newfoundland and Labrador","2016A000210","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063000","2.3.1.1.1.1","224.8","","","","1"
"2021-01","Newfoundland and Labrador","2016A000210","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063000","2.3.1.1.1.1","222.1","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063001","2.4.1.1.1.1","182.5","","","","1"
